NORAD Catalog Number		Name
29236	,	GALAXY 16 (G-16)
29249	,	USA 184
29252	,	GENESIS 1
29268	,	ARIRANG-2 (KOMPSAT-2)
29270	,	EUTELSAT HOT BIRD 13B
29272	,	JCSAT-3A
29273	,	SYRACUSE 3B
29349	,	KOREASAT 5 (MUGUNGWHA 5)
29398	,	ZHONGXING-22A
29479	,	HINODE (SOLAR-B)
29486	,	NAVSTAR 58 (USA 190)
29494	,	DIRECTV 9S
29495	,	OPTUS D1
29499	,	METOP-A
29505	,	SJ-6C
29506	,	SJ-6D
29510	,	STEREO A
29511	,	STEREO B
29520	,	XM-4 (BLUES)
29522	,	DMSP 5D-3 F17 (USA 191)
29526	,	BADR-4
29601	,	NAVSTAR 59 (USA 192)
29640	,	FENGYUN 2D
29643	,	WILDBLUE-1
29644	,	AMC-18
29648	,	MEASAT-3
29658	,	SAR-LUPE 1
29670	,	COSMOS 2425 [GLONASS-M]
29671	,	COSMOS 2426 [GLONASS-M]
29678	,	COROT
29709	,	LAPAN-TUBSAT
29710	,	CARTOSAT-2 (IRS-P7)
30580	,	THEMIS A
30581	,	ARTEMIS P1 (THEMIS B)
30582	,	ARTEMIS P2 (THEMIS C)
30774	,	OE (NEXTSAT)
30776	,	FALCONSAT-3
30777	,	CFESAT
30793	,	INSAT-4B
30794	,	SKYNET 5A
30797	,	THEMIS D
30798	,	THEMIS E
31102	,	ANIK F3
31113	,	HAIYANG-1B
31118	,	SAUDISAT 3
31119	,	SAUDICOMSAT 7
31121	,	SAUDICOMSAT 6
31124	,	SAUDICOMSAT 5
31125	,	SAUDICOMSAT 3
31127	,	SAUDICOMSAT 4
31135	,	AGILE
31304	,	AIM
31306	,	ASTRA 1L
31307	,	GALAXY 17 (G-17)
31490	,	YAOGAN 2
31571	,	GLOBALSTAR M065
31573	,	GLOBALSTAR M069
31574	,	GLOBALSTAR M072
31576	,	GLOBALSTAR M071
31598	,	COSMO-SKYMED 1
31601	,	OFEQ 7
31698	,	TERRASAR-X
31701	,	USA 194
31789	,	GENESIS 2
31792	,	COSMOS 2428
31797	,	SAR-LUPE 2
31800	,	ZHONGXING-6B
31862	,	DIRECTV 10
32018	,	SPACEWAY 3
32019	,	BSAT-3A
32050	,	INSAT-4CR
32060	,	WORLDVIEW-1 (WV-1)
32252	,	OPTUS D2
32253	,	INTELSAT 11 (IS-11)
32258	,	WGS F1 (USA 195)
32260	,	NAVSTAR 60 (USA 196)
32263	,	GLOBALSTAR M067
32264	,	GLOBALSTAR M070
32265	,	GLOBALSTAR M066
32275	,	COSMOS 2433 [GLONASS-M]
32276	,	COSMOS 2432 [GLONASS-M]
32283	,	SAR-LUPE 3
32289	,	YAOGAN 3
32293	,	STAR ONE C1
32294	,	SKYNET 5B
32299	,	ASTRA 4A (SIRIUS 4)
32376	,	COSMO-SKYMED 2
32378	,	USA 198
32382	,	RADARSAT-2
32384	,	NAVSTAR 61 (USA 199)
32388	,	HORIZONS-2
32393	,	COSMOS 2434 [GLONASS-M]
32395	,	COSMOS 2436 [GLONASS-M]
32404	,	THURAYA-3
32476	,	TECSAR
32478	,	EXPRESS-AM33
32487	,	THOR 5
32500	,	KIZUNA (WINDS)
32706	,	USA 200
32708	,	AMC-14
32711	,	NAVSTAR 62 (USA 201)
32729	,	DIRECTV 11
32750	,	SAR-LUPE 4
32763	,	ICO G1
32767	,	VINASAT-1
32768	,	STAR ONE C2
32779	,	TIANLIAN 1-01
32783	,	CARTOSAT-2A
32785	,	CUTE-1.7+APD II (CO-65)
32787	,	COMPASS-1
32788	,	AAUSAT-II
32789	,	DELFI-C3 (DO-64)
32790	,	CANX-2
32791	,	SEEDS II (CO-66)
32794	,	AMOS-3
32951	,	GALAXY 18 (G-18)
32953	,	YUBILEINY (RS-30)
32954	,	COSMOS 2437
32955	,	COSMOS 2438
32956	,	COSMOS 2439
32958	,	FENGYUN 3A
33051	,	CHINASAT 9 (ZX 9)
33053	,	FGRST (GLAST)
33055	,	SKYNET 5C
33056	,	TURKSAT 3A
33105	,	JASON-2 (OSTM)
33153	,	INTELSAT 25 (IS-25)
33154	,	BADR-6
33207	,	ECHOSTAR 11
33244	,	SAR-LUPE 5
33274	,	SUPERBIRD-C2
33275	,	AMC-21
33278	,	INMARSAT 4-F3
33312	,	RAPIDEYE 2
33313	,	RAPIDEYE 5
33314	,	RAPIDEYE 1
33315	,	RAPIDEYE 3
33316	,	RAPIDEYE 4
33320	,	HUANJING 1A (HJ-1A)
33321	,	HUANJING 1B (HJ-1B)
33331	,	GEOEYE 1
33373	,	NIMIQ 4
33376	,	GALAXY 19 (G-19)
33396	,	THEOS
33401	,	IBEX
33408	,	SJ-6E
33409	,	SJ-6F
33412	,	COSMO-SKYMED 3
33414	,	VENESAT-1
33433	,	SHIYAN 3 (SY-3)
33434	,	CHUANGXIN 1-02 (CX-1-02)
